ticker,year,start_price,end_price,total_return,volatility,avg_volume
ACB,2025,21.39,24.3,0.136,0.0162,12326429
BVH,2025,50.53,56.0,0.1083,0.023,613945
BCM,2025,70.8,61.9,-0.1257,0.0206,469515
BID,2025,37.78,38.4,0.0164,0.0164,4746921
FPT,2025,129.71,93.7,-0.2776,0.0197,7652038
HDB,2025,19.35,27.0,0.3953,0.0229,15135637
HPG,2025,22.5,26.9,0.1956,0.0192,39864342
LPB,2025,29.11,44.0,0.5115,0.0215,3099143
MSN,2025,70.8,76.0,0.0734,0.0211,7177753
MBB,2025,16.45,25.25,0.535,0.0191,26061844
MWG,2025,59.74,85.0,0.4228,0.0207,7732148
PLX,2025,36.91,35.3,-0.0436,0.0185,1743901
GAS,2025,64.1,65.3,0.0187,0.0172,925044
SAB,2025,52.3,49.6,-0.0516,0.0154,1155846
STB,2025,37.0,52.4,0.4162,0.0215,11003345
SHB,2025,7.87,16.3,1.0712,0.0227,68802050
SSI,2025,23.05,31.45,0.3644,0.0235,32796108
TCB,2025,23.72,35.2,0.484,0.0203,18243662
TPB,2025,14.69,17.3,0.1777,0.0225,18788255
VCB,2025,61.03,57.8,-0.0529,0.0152,4779887
CTG,2025,26.13,35.15,0.3452,0.0182,8685346
VJC,2025,99.9,206.0,1.0621,0.0253,1466973
VIB,2025,16.62,17.75,0.068,0.018,9938556
GVR,2025,30.07,26.6,-0.1154,0.0242,3665588
VNM,2025,58.21,63.2,0.0857,0.0165,4580952
VRE,2025,17.3,33.0,0.9075,0.0264,9746798
VIC,2025,20.27,158.8,6.8342,0.0304,4706613
VHM,2025,40.0,107.4,1.685,0.0269,6840301
VPB,2025,18.64,29.0,0.5558,0.0248,28418971
